n : 1.0
freq : 83.33 MHz
SWR : 9.207
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
105  30    -9.870     0.103040      -3362.238
110  30    -9.809     0.104492      -3363.590
115  30    -9.183     0.120700      -3365.170
120  30    -9.272     0.118238      -3364.836
125  30    -9.610     0.109400      -3361.438
130  30    -9.665     0.108009      -3362.300
135  30   -10.795     0.083276      -3360.630
140  30   -10.932     0.080692      -3358.851
145  30   -11.472     0.071256      -3359.205
150  30   -13.900     0.040735      -3001.397
155  30   -13.950     0.040274      -3001.117
160  30   -14.780     0.033265      -3002.423
165  30   -16.851     0.020650      -3362.547
170  30   -19.245     0.011900      -3004.559
175  30   -21.426     0.007200      -3007.170
180  30   -22.711     0.005356      -3008.948
  0  35   -23.663     0.004302      -3358.162
  5  35   -21.520     0.007047      -3361.127
 10  35   -19.370     0.011562      -3364.259
 15  35   -17.125     0.019386      -3365.322
 20  35   -14.685     0.033999      -3365.429
 25  35   -13.841     0.041291      -3364.843
 30  35   -13.605     0.043601      -3364.745
 35  35   -11.786     0.066282      -3364.395
 40  35   -10.535     0.088400      -3363.269
 45  35   -11.094     0.077724      -3363.818
 50  35   -10.456     0.090031      -3361.596
 55  35    -9.390     0.115079      -3360.211
 60  35    -9.508     0.111988      -3361.060
 65  35    -8.881     0.129383      -3363.670
 70  35   -10.057     0.098705      -3363.217
 75  35   -10.105     0.097620      -3362.540
 80  35   -10.262     0.094149      -3363.050
 85  35   -11.472     0.071253      -3361.426
 90  35   -11.750     0.066827      -3363.795
 95  35   -11.597     0.069239      -3365.985
100  35   -10.617     0.086747      -3364.543
105  35    -9.870     0.103040      -3362.238
110  35    -9.809     0.104492      -3363.590
115  35    -9.183     0.120700      -3365.170
120  35    -9.272     0.118238      -3364.836
125  35    -9.610     0.109400      -3361.438
130  35    -9.665     0.108009      -3362.300
135  35   -10.795     0.083276      -3360.630
140  35   -10.932     0.080692      -3358.851
145  35   -11.472     0.071256      -3359.205
150  35   -13.900     0.040735      -3001.397
155  35   -13.950     0.040274      -3001.117
160  35   -14.780     0.033265      -3002.423
165  35   -16.851     0.020650      -3362.547
170  35   -19.245     0.011900      -3004.559
175  35   -21.426     0.007200      -3007.170
180  35   -22.711     0.005356      -3008.948
  0  40   -23.663     0.004302      -3358.162
  5  40   -21.520     0.007047      -3361.127
 10  40   -19.370     0.011562      -3364.259
 15  40   -17.125     0.019386      -3365.322
 20  40   -14.685     0.033999      -3365.429
 25  40   -13.841     0.041291      -3364.843
 30  40   -13.605     0.043601      -3364.745
 35  40   -11.786     0.066282      -3364.395
 40  40   -10.535     0.088400      -3363.269
 45  40   -11.094     0.077724      -3363.818
 50  40   -10.456     0.090031      -3361.596
 55  40    -9.390     0.115079      -3360.211
 60  40    -9.508     0.111988      -3361.060
 65  40    -8.881     0.129383      -3363.670
 70  40   -10.057     0.098705      -3363.217
 75  40   -10.105     0.097620      -3362.540
 80  40   -10.262     0.094149      -3363.050
 85  40   -11.472     0.071253      -3361.426
 90  40   -11.750     0.066827      -3363.795
 95  40   -11.597     0.069239      -3365.985
100  40   -10.617     0.086747      -3364.543
105  40    -9.870     0.103040      -3362.238
110  40    -9.809     0.104492      -3363.590
115  40    -9.183     0.120700      -3365.170
120  40    -9.272     0.118238      -3364.836
125  40    -9.610     0.109400      -3361.438
130  40    -9.665     0.108009      -3362.300
135  40   -10.795     0.083276      -3360.630
140  40   -10.932     0.080692      -3358.851
145  40   -11.472     0.071256      -3359.205
150  40   -13.900     0.040735      -3001.397
155  40   -13.950     0.040274      -3001.117
160  40   -14.780     0.033265      -3002.423
165  40   -16.851     0.020650      -3362.547
170  40   -19.245     0.011900      -3004.559
175  40   -21.426     0.007200      -3007.170
180  40   -22.711     0.005356      -3008.948
  0  45   -23.663     0.004302      -3358.162
  5  45   -21.520     0.007047      -3361.127
 10  45   -19.370     0.011562      -3364.259
 15  45   -17.125     0.019386      -3365.322
 20  45   -14.685     0.033999      -3365.429
 25  45   -13.841     0.041291      -3364.843
 30  45   -13.605     0.043601      -3364.745
 35  45   -11.786     0.066282      -3364.395
 40  45   -10.535     0.088400      -3363.269
 45  45   -11.094     0.077724      -3363.818
 50  45   -10.456     0.090031      -3361.596
 55  45    -9.390     0.115079      -3360.211
 60  45    -9.508     0.111988      -3361.060
 65  45    -8.881     0.129383      -3363.670
 70  45   -10.057     0.098705      -3363.217
 75  45   -10.105     0.097620      -3362.540
 80  45   -10.262     0.094149      -3363.050
 85  45   -11.472     0.071253      -3361.426
 90  45   -11.750     0.066827      -3363.795
 95  45   -11.597     0.069239      -3365.985
100  45   -10.617     0.086747      -3364.543
105  45    -9.870     0.103040      -3362.238
110  45    -9.809     0.104492      -3363.590
115  45    -9.183     0.120700      -3365.170
