n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
180  45   -28.635     0.001369      -3415.233
  0  50   -28.302     0.001479      -3770.859
  5  50   -28.410     0.001442      -3770.873
 10  50   -27.483     0.001785      -3409.606
 15  50   -25.535     0.002796      -3768.498
 20  50   -23.115     0.004880      -3409.256
 25  50   -20.204     0.009540      -3769.696
 30  50   -18.679     0.013554      -3409.038
 35  50   -17.935     0.016089      -3408.364
 40  50   -16.706     0.021351      -3410.216
 45  50   -17.368     0.018330      -3407.830
 50  50   -16.307     0.023407      -3408.454
 55  50   -16.275     0.023579      -3408.951
 60  50   -14.503     0.035460      -3411.378
 65  50   -13.752     0.042153      -3052.213
 70  50   -13.639     0.043263      -3413.367
 75  50   -13.219     0.047657      -3412.018
 80  50   -13.625     0.043400      -3412.200
 85  50   -12.646     0.054375      -3410.851
 90  50   -12.034     0.062602      -3409.533
 95  50   -12.657     0.054242      -3409.308
100  50   -13.120     0.048749      -3769.791
105  50   -13.374     0.045983      -3770.802
110  50   -13.392     0.045798      -3772.312
115  50   -14.050     0.039358      -3772.234
120  50   -13.566     0.043998      -3771.421
125  50   -15.157     0.030497      -3770.640
130  50   -16.560     0.022080      -3770.816
135  50   -16.226     0.023848      -3769.694
140  50   -16.203     0.023973      -3407.201
145  50   -17.605     0.017358      -3408.219
150  50   -18.432     0.014350      -3407.700
155  50   -19.602     0.010960      -3768.228
160  50   -21.554     0.006992      -3769.930
165  50   -23.873     0.004100      -3771.675
170  50   -28.102     0.001548      -3774.024
175  50   -31.875     0.000649      -3413.588
180  50   -28.635     0.001369      -3415.233
  0  55   -28.302     0.001479      -3770.859
  5  55   -28.410     0.001442      -3770.873
 10  55   -27.483     0.001785      -3409.606
 15  55   -25.535     0.002796      -3768.498
 20  55   -23.115     0.004880      -3409.256
 25  55   -20.204     0.009540      -3769.696
 30  55   -18.679     0.013554      -3409.038
 35  55   -17.935     0.016089      -3408.364
 40  55   -16.706     0.021351      -3410.216
 45  55   -17.368     0.018330      -3407.830
 50  55   -16.307     0.023407      -3408.454
 55  55   -16.275     0.023579      -3408.951
 60  55   -14.503     0.035460      -3411.378
 65  55   -13.752     0.042153      -3052.213
 70  55   -13.639     0.043263      -3413.367
 75  55   -13.219     0.047657      -3412.018
 80  55   -13.625     0.043400      -3412.200
 85  55   -12.646     0.054375      -3410.851
 90  55   -12.034     0.062602      -3409.533
 95  55   -12.657     0.054242      -3409.308
100  55   -13.120     0.048749      -3769.791
105  55   -13.374     0.045983      -3770.802
110  55   -13.392     0.045798      -3772.312
115  55   -14.050     0.039358      -3772.234
120  55   -13.566     0.043998      -3771.421
125  55   -15.157     0.030497      -3770.640
130  55   -16.560     0.022080      -3770.816
135  55   -16.226     0.023848      -3769.694
140  55   -16.203     0.023973      -3407.201
145  55   -17.605     0.017358      -3408.219
150  55   -18.432     0.014350      -3407.700
155  55   -19.602     0.010960      -3768.228
160  55   -21.554     0.006992      -3769.930
165  55   -23.873     0.004100      -3771.675
170  55   -28.102     0.001548      -3774.024
175  55   -31.875     0.000649      -3413.588
180  55   -28.635     0.001369      -3415.233
  0  60   -28.302     0.001479      -3770.859
  5  60   -28.410     0.001442      -3770.873
 10  60   -27.483     0.001785      -3409.606
 15  60   -25.535     0.002796      -3768.498
 20  60   -23.115     0.004880      -3409.256
 25  60   -20.204     0.009540      -3769.696
 30  60   -18.679     0.013554      -3409.038
 35  60   -17.935     0.016089      -3408.364
 40  60   -16.706     0.021351      -3410.216
 45  60   -17.368     0.018330      -3407.830
 50  60   -16.307     0.023407      -3408.454
 55  60   -16.275     0.023579      -3408.951
 60  60   -14.503     0.035460      -3411.378
 65  60   -13.752     0.042153      -3052.213
 70  60   -13.639     0.043263      -3413.367
 75  60   -13.219     0.047657      -3412.018
 80  60   -13.625     0.043400      -3412.200
 85  60   -12.646     0.054375      -3410.851
 90  60   -12.034     0.062602      -3409.533
