Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
383.161512,5.15718e-07,1.03293e-07,3.07967e-07,5.32556e-08,3.77058e-07,2.58778e-07,7.62214e-08,3.23386e-07,2.85671e-07,2.01694e-07,2.747e-07,1.86355e-07,2.33727e-07,2.68585e-07,2.5295e-07,1.97549e-07
384.020619,5.22888e-07,1.03819e-07,3.11701e-07,5.39281e-08,3.8209e-07,2.62338e-07,7.67412e-08,3.28626e-07,2.8781e-07,2.03218e-07,2.74404e-07,1.8807e-07,2.35433e-07,2.70504e-07,2.54191e-07,1.97779e-07
384.879725,5.29724e-07,1.04353e-07,3.15244e-07,5.5846e-08,3.86786e-07,2.65326e-07,7.7647e-08,3.33887e-07,2.90155e-07,2.04179e-07,2.74331e-07,1.89628e-07,2.36738e-07,2.71962e-07,2.54937e-07,1.9828e-07
385.738832,5.35675e-07,1.0483e-07,3.18084e-07,5.72027e-08,3.90707e-07,2.67547e-07,7.7993e-08,3.38308e-07,2.91685e-07,2.04693e-07,2.74677e-07,1.90665e-07,2.37495e-07,2.73187e-07,2.54624e-07,1.99238e-07
386.597938,5.40729e-07,1.05269e-07,3.1963e-07,5.72854e-08,3.93258e-07,2.68888e-07,7.76303e-08,3.40696e-07,2.92422e-07,2.04448e-07,2.75572e-07,1.91041e-07,2.37726e-07,2.74101e-07,2.54091e-07,2.00151e-07
387.457045,5.44029e-07,1.05454e-07,3.20469e-07,5.71356e-08,3.9411e-07,2.69342e-07,7.75707e-08,3.41696e-07,2.92035e-07,2.03675e-07,2.75748e-07,1.90901e-07,2.37885e-07,2.74376e-07,2.5324e-07,2.00549e-07
388.316151,5.45406e-07,1.05342e-07,3.20403e-07,5.8012e-08,3.93419e-07,2.68698e-07,7.85941e-08,3.40865e-07,2.90821e-07,2.02299e-07,2.74757e-07,1.90171e-07,2.37512e-07,2.73924e-07,2.51331e-07,1.99567e-07
389.175258,5.44458e-07,1.04881e-07,3.19272e-07,5.93289e-08,3.91119e-07,2.671e-07,7.96474e-08,3.39574e-07,2.8833e-07,2.0016e-07,2.71521e-07,1.88875e-07,2.36117e-07,2.71638e-07,2.48698e-07,1.97106e-07
390.034364,5.41839e-07,1.0409e-07,3.16746e-07,5.93369e-08,3.87544e-07,2.64382e-07,7.9154e-08,3.37653e-07,2.84775e-07,1.9729e-07,2.66216e-07,1.86711e-07,2.33637e-07,2.68348e-07,2.45725e-07,1.93735e-07
390.893471,5.37257e-07,1.03119e-07,3.12554e-07,5.78909e-08,3.8304e-07,2.61049e-07,7.69138e-08,3.35303e-07,2.80466e-07,1.93671e-07,2.60074e-07,1.84024e-07,2.30256e-07,2.64125e-07,2.41459e-07,1.9052e-07
