 10000 6 1 0.0 0.0
 0.15414E+00 0.00000E+00 0.00000E+00 0.49469E+00 0.35116E+00 0.00000E+00
 0.36974E+00 0.00000E+00 0.00000E+00 0.63026E+00 0.00000E+00 0.00000E+00
 0.46615E-01 0.58625E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.36713E+00
 0.22376E+00 0.42491E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.73375E+00
 0.23451E+00 0.28546E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.48003E+00
 0.63077E+00 0.00000E+00 0.00000E+00 0.22148E-01 0.34709E+00 0.00000E+00
 0.79602E-01 0.00000E+00 0.00000E+00 0.21891E+00 0.70149E+00 0.00000E+00
 0.28753E+00 0.13075E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.58172E+00
 0.24850E+00 0.00000E+00 0.00000E+00 0.75150E+00 0.00000E+00 0.00000E+00
 0.33541E+00 0.00000E+00 0.00000E+00 0.13829E+00 0.52630E+00 0.00000E+00
 0.81631E-01 0.00000E+00 0.00000E+00 0.32067E+00 0.59770E+00 0.00000E+00
 0.18453E+00 0.00000E+00 0.34799E+00 0.00000E+00 0.46748E+00 0.00000E+00
 0.48182E+00 0.00000E+00 0.00000E+00 0.34205E+00 0.17613E+00 0.00000E+00
 0.81781E-01 0.00000E+00 0.00000E+00 0.91822E+00 0.00000E+00 0.00000E+00
 0.83978E-01 0.00000E+00 0.00000E+00 0.91602E+00 0.00000E+00 0.00000E+00
 0.55093E+00 0.00000E+00 0.42684E+00 0.00000E+00 0.22226E-01 0.00000E+00
 0.66223E+00 0.00000E+00 0.00000E+00 0.20431E+00 0.13346E+00 0.00000E+00
 0.53766E+00 0.10077E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.36157E+00
 0.16586E+00 0.00000E+00 0.34305E+00 0.00000E+00 0.49109E+00 0.00000E+00
 0.10030E+00 0.00000E+00 0.00000E+00 0.89970E+00 0.00000E+00 0.00000E+00
 0.39675E+00 0.00000E+00 0.00000E+00 0.43098E+00 0.17227E+00 0.00000E+00
 0.37337E+00 0.00000E+00 0.00000E+00 0.60706E+00 0.19569E-01 0.00000E+00
