# depth_m  pct_change_up_vs_central  pct_change_low_vs_central  
649.000000 25.923773 -10.241350
650.000000 25.910983 -10.238967
651.000000 25.898181 -10.236581
652.000000 25.885368 -10.234193
653.000000 25.872543 -10.231802
654.000000 25.859707 -10.229410
655.000000 25.846859 -10.227015
656.000000 25.834000 -10.224619
657.000000 25.821129 -10.222220
658.000000 25.808246 -10.219819
659.000000 25.795352 -10.217416
660.000000 25.782446 -10.215010
661.000000 25.769528 -10.212603
662.000000 25.756598 -10.210193
663.000000 25.743657 -10.207781
664.000000 25.730704 -10.205367
665.000000 25.717739 -10.202950
666.000000 25.704763 -10.200532
667.000000 25.691774 -10.198111
668.000000 25.678774 -10.195688
669.000000 25.665762 -10.193263
670.000000 25.652815 -10.190781
671.000000 25.644859 -10.184721
672.000000 25.636895 -10.178654
673.000000 25.628923 -10.172581
674.000000 25.620943 -10.166503
675.000000 25.612955 -10.160418
676.000000 25.604960 -10.154327
677.000000 25.596956 -10.148231
678.000000 25.588944 -10.142128
679.000000 25.580925 -10.136019
680.000000 25.572897 -10.129904
681.000000 25.564862 -10.123783
682.000000 25.556818 -10.117655
683.000000 25.548767 -10.111522
684.000000 25.540707 -10.105383
685.000000 25.532639 -10.099237
686.000000 25.524564 -10.093085
687.000000 25.516480 -10.086927
688.000000 25.508728 -10.080763
689.000000 25.511963 -10.074593
690.000000 25.515202 -10.068417
691.000000 25.518443 -10.060934
692.000000 25.521688 -10.052577
693.000000 25.524936 -10.044211
694.000000 25.528188 -10.035837
695.000000 25.531443 -10.027455
696.000000 25.534701 -10.019064
697.000000 25.537962 -10.010664
698.000000 25.541227 -10.002257
699.000000 25.544495 -9.993840
700.000000 25.547766 -9.985416
701.000000 25.551040 -9.976983
702.000000 25.554318 -9.968541
703.000000 25.557599 -9.960091
704.000000 25.560883 -9.951632
705.000000 25.564171 -9.943165
706.000000 25.567462 -9.934689
707.000000 25.570756 -9.926205
708.000000 25.574054 -9.917712
709.000000 25.577355 -9.909211
710.000000 25.580659 -9.900701
711.000000 25.583967 -9.892182
712.000000 25.587278 -9.883655
713.000000 25.590592 -9.875119
714.000000 25.593910 -9.866574
715.000000 25.597231 -9.858021
716.000000 25.600555 -9.849459
717.000000 25.603883 -9.840889
718.000000 25.607214 -9.832309
719.000000 25.610549 -9.823721
720.000000 25.613887 -9.815125
721.000000 25.617228 -9.806519
722.000000 25.620573 -9.797905
723.000000 25.623921 -9.789282
724.000000 25.627272 -9.780650
725.000000 25.630627 -9.772010
726.000000 25.633986 -9.763360
727.000000 25.637347 -9.754702
728.000000 25.635332 -9.749901
729.000000 25.629543 -9.747804
730.000000 25.623749 -9.745705
731.000000 25.617950 -9.743604
732.000000 25.612146 -9.741502
733.000000 25.606337 -9.739398
734.000000 25.600523 -9.737292
735.000000 25.594704 -9.735184
736.000000 25.588879 -9.733074
737.000000 25.583050 -9.730963
