Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
179.69,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084,4520.641,2.084\n
183.59,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952,5339.493,1.952\n
187.5,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831,5325.373,1.831\n
191.41,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72,5310.678,1.72\n
195.31,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616,5296.634,1.616\n
199.22,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52,5282.019,1.52\n
203.12,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43,5355.5,1.43\n
207.03,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345,5452.554,1.345\n
210.94,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264,5551.368,1.264\n
214.84,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188,5651.321,1.188\n
