Frequency,Gain (Ch. 0),Phase (Ch. 0),Gain (Ch. 1),Phase (Ch. 1),Gain (Ch. 2),Phase (Ch. 2),Gain (Ch. 3),Phase (Ch. 3),Gain (Ch. 4),Phase (Ch. 4),Gain (Ch. 5),Phase (Ch. 5),Gain (Ch. 6),Phase (Ch. 6),Gain (Ch. 7),Phase (Ch. 7),Gain (Ch. 8),Phase (Ch. 8),Gain (Ch. 9),Phase (Ch. 9),Gain (Ch. 10),Phase (Ch. 10),Gain (Ch. 11),Phase (Ch. 11),Gain (Ch. 12),Phase (Ch. 12),Gain (Ch. 13),Phase (Ch. 13),Gain (Ch. 14),Phase (Ch. 14),Gain (Ch. 15),Phase (Ch. 15)\n
218.75,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325,0.991,-2.325\n
222.66,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389,0.992,-2.389\n
226.56,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453,0.992,-2.453\n
230.47,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516,0.993,-2.516\n
234.37,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579,0.993,-2.579\n
238.28,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643,0.994,-2.643\n
242.19,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706,0.994,-2.706\n
246.09,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768,0.994,-2.768\n
250,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831,0.995,-2.831\n
253.91,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894,0.995,-2.894\n
257.81,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957,0.995,-2.957\n
261.72,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02,0.996,-3.02\n
265.62,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082,0.996,-3.082\n
269.53,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138,0.996,3.138\n
273.44,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075,0.996,3.075\n
277.34,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013,0.997,3.013\n
281.25,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95,0.997,2.95\n
285.16,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887,0.997,2.887\n
289.06,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824,0.997,2.824\n
292.97,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761,0.997,2.761\n
296.87,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697,0.997,2.697\n
300.78,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634,0.997,2.634\n
304.69,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57,0.998,2.57\n
308.59,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507,0.998,2.507\n
312.5,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443,0.998,2.443\n
316.41,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379,0.998,2.379\n
320.31,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314,0.998,2.314\n
324.22,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25,0.998,2.25\n
328.12,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185,0.998,2.185\n
332.03,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12,0.998,2.12\n
335.94,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055,0.998,2.055\n
339.84,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989,0.998,1.989\n
343.75,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923,0.998,1.923\n
347.66,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856,0.998,1.856\n
351.56,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79,0.998,1.79\n
