Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
128.906000,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462
131.836000,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455
134.766000,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355
137.695000,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552
140.625000,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42
143.555000,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629
146.484000,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003,3686.78,-0.003
149.414000,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634,3984.02,-0.634
152.344000,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128,4036.84,-1.128
155.273000,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582,4219.41,-1.582
158.203000,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99,4185.76,-1.99
161.133000,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329,4289.71,-2.329
164.062000,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684,4443.26,-2.684
166.992000,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028,4426.88,-3.028
169.922000,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978,4314.68,2.978
172.852000,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717,4477.73,2.717
175.781000,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433,4430.32,2.433
178.711000,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235,4595.18,2.235
181.641000,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913,4917.37,1.913
184.570000,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646,4501.88,1.646
187.500000,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502,4588.19,1.502
190.430000,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275,4868.11,1.275
193.359000,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035,5140.66,1.035
196.289000,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747,5175.27,0.747
199.219000,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534,4900.34,0.534
202.148000,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365,4953.11,0.365
205.078000,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162,5104.91,0.162
208.008000,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045,5166.69,-0.045
210.938000,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235,5298.16,-0.235
213.867000,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457,5462.09,-0.457
216.797000,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666,5487.89,-0.666
219.727000,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884,5553.74,-0.884
222.656000,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076,5425.59,-1.076
225.586000,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258,5629.93,-1.258
228.516000,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492,5558.56,-1.492
231.445000,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646,5478.78,-1.646
234.375000,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86,5653.26,-1.86
237.305000,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057,5350.59,-2.057
240.234000,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176,5386.17,-2.176
243.164000,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374,5696.39,-2.374
246.094000,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603,5540.26,-2.603
249.023000,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734,5317.41,-2.734
251.953000,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898,5612.28,-2.898
