Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
52.837573,1.53499e-11,3.62216,1.55126e-11,3.62216,1.56459e-11,3.62216,1.62502e-11,3.62216,1.54653e-11,3.62216,0.000146377,3.62216,1.52403e-11,3.62216,1.47437e-11,3.62216,2.04169e-11,3.62216,1.92806e-11,3.62216,0.000161071,3.62216,0.000149984,3.62216,0.000144346,3.62216,0.000136992,3.62216,0.000147634,3.62216,0.000583762,3.62216
54.794521,3.93637e-11,2.62018,3.90538e-11,2.62018,4.25463e-11,2.62018,3.63472e-11,2.62018,3.49819e-11,2.62018,0.000385242,2.62018,3.95802e-11,2.62018,3.29001e-11,2.62018,5.40183e-11,2.62018,4.37156e-11,2.62018,0.000504988,2.62018,0.000430653,2.62018,0.000437417,2.62018,0.000407359,2.62018,0.00035221,2.62018,0.00090427,2.62018
56.751468,8.48596e-11,2.65348,8.26923e-11,2.65348,9.06903e-11,2.65348,7.98919e-11,2.65348,7.63002e-11,2.65348,0.000817541,2.65348,8.59989e-11,2.65348,7.2011e-11,2.65348,1.20012e-10,2.65348,9.50879e-11,2.65348,0.00112396,2.65348,0.000940016,2.65348,0.000972785,2.65348,0.000901363,2.65348,0.000769855,2.65348,0.00175366,2.65348
58.708415,1.63612e-10,3.41066,1.64648e-10,3.41066,1.66057e-10,3.41066,1.72335e-10,3.41066,1.64459e-10,3.41066,0.00153467,3.41066,1.62242e-10,3.41066,1.56795e-10,3.41066,2.34827e-10,3.41066,2.02092e-10,3.41066,0.00152462,3.41066,0.00144002,3.41066,0.00145311,3.41066,0.00142311,3.41066,0.00132231,3.41066,0.00418863,3.41066
60.665362,4.05035e-10,2.4952,4.00989e-10,2.4952,4.41074e-10,2.4952,3.83292e-10,2.4952,3.67135e-10,2.4952,0.00389362,2.4952,4.10616e-10,2.4952,3.48201e-10,2.4952,5.4792e-10,2.4952,4.52387e-10,2.4952,0.00478775,2.4952,0.00413358,2.4952,0.00419312,2.4952,0.00400982,2.4952,0.00348078,2.4952,0.00876033,2.4952
62.622309,8.7388e-10,2.42717,8.67533e-10,2.42717,9.32042e-10,2.42717,8.35276e-10,2.42717,8.06137e-10,2.42717,0.008214,2.42717,8.8357e-10,2.42717,7.59991e-10,2.42717,1.14911e-09,2.42717,9.77289e-10,2.42717,0.0107854,2.42717,0.00910559,2.42717,0.00920457,2.42717,0.00885791,2.42717,0.00777126,2.42717,0.0166088,2.42717
64.579256,1.72193e-09,2.9471,1.73037e-09,2.9471,1.74608e-09,2.9471,1.8039e-09,2.9471,1.72848e-09,2.9471,0.0160293,2.9471,1.7107e-09,2.9471,1.65283e-09,2.9471,2.22256e-09,2.9471,2.06922e-09,2.9471,0.0161823,2.9471,0.0152427,2.9471,0.0145044,2.9471,0.0151336,2.9471,0.0140604,2.9471,0.0416643,2.9471
66.536204,4.21578e-09,2.4061,4.11596e-09,2.4061,4.46613e-09,2.4061,3.97758e-09,2.4061,3.8362e-09,2.4061,0.0392367,2.4061,4.25318e-09,2.4061,3.65116e-09,2.4061,5.76632e-09,2.4061,4.57031e-09,2.4061,0.0483733,2.4061,0.0419196,2.4061,0.0419233,2.4061,0.0414145,2.4061,0.0357907,2.4061,0.144054,2.4061
68.493151,8.98296e-09,2.63637,8.84986e-09,2.63637,9.58176e-09,2.63637,8.62811e-09,2.63637,8.34773e-09,2.63637,0.0840237,2.63637,9.05927e-09,2.63637,7.96678e-09,2.63637,1.13232e-08,2.63637,9.80858e-09,2.63637,0.111843,2.63637,0.091909,2.63637,0.101717,2.63637,0.105065,2.63637,0.0829545,2.63637,0.229529,2.63637
70.450098,1.79083e-08,3.32997,1.78811e-08,3.32997,1.81039e-08,3.32997,1.85236e-08,3.32997,1.78894e-08,3.32997,0.165577,3.32997,1.78252e-08,3.32997,1.72693e-08,3.32997,2.08134e-08,3.32997,2.06433e-08,3.32997,0.238871,3.32997,0.176834,3.32997,0.197509,3.32997,0.231849,3.32997,0.171887,3.32997,0.394248,3.32997
