realTime 	 junk 	 GPS LAT 	 GPS LONG 	 GPS ALT 	 heading 	 junk 	 junk 	 junk
-204344	0	-77.8618	167.063	-19.95	999	0	0	0
-204334	0	-77.8618	167.063	-19.87	999	0	0	0
-204323	0	-77.8618	167.063	-19.83	999	0	0	0
-204313	0	-77.8618	167.063	-19.83	999	0	0	0
-204304	0	-77.8618	167.063	-19.88	999	0	0	0
-204291	0	-77.8618	167.063	-20.03	999	0	0	0
-204279	0	-77.8618	167.063	-20.19	999	0	0	0
-204263	0	-77.8618	167.063	-20.35	999	0	0	0
-204250	0	-77.8618	167.063	-20.43	999	0	0	0
-204237	0	-77.8618	167.063	-20.45	999	0	0	0
-204224	0	-77.8618	167.063	-20.42	999	0	0	0
-204213	0	-77.8618	167.063	-20.37	999	0	0	0
-204202	0	-77.8618	167.063	-20.35	999	0	0	0
-204192	0	-77.8618	167.063	-20.35	999	0	0	0
-204178	0	-77.8618	167.063	-20.36	999	0	0	0
-204164	0	-77.8618	167.063	-20.39	999	0	0	0
-204151	0	-77.8618	167.063	-20.43	999	0	0	0
-204141	0	-77.8618	167.063	-20.48	999	0	0	0
-204129	0	-77.8618	167.063	-20.56	999	0	0	0
-204116	0	-77.8618	167.063	-20.62	999	0	0	0
-204105	0	-77.8618	167.063	-20.7	999	0	0	0
-204091	0	-77.8618	167.063	-20.82	999	0	0	0
-204080	0	-77.8618	167.063	-20.93	999	0	0	0
-204064	0	-77.8618	167.063	-21.11	999	0	0	0
-204052	0	-77.8618	167.063	-21.21	999	0	0	0
-204041	0	-77.8618	167.063	-21.31	999	0	0	0
-204028	0	-77.8618	167.063	-21.43	999	0	0	0
-204016	0	-77.8618	167.062	-21.52	999	0	0	0
-204006	0	-77.8618	167.062	-21.6	999	0	0	0
-203992	0	-77.8618	167.062	-21.74	999	0	0	0
-203981	0	-77.8618	167.062	-21.84	999	0	0	0
-203970	0	-77.8618	167.062	-21.92	999	0	0	0
-203955	0	-77.8618	167.062	-22	999	0	0	0
-203944	0	-77.8618	167.063	-22.04	999	0	0	0
-203932	0	-77.8618	167.063	-22.08	999	0	0	0
-203922	0	-77.8618	167.063	-22.12	999	0	0	0
-203912	0	-77.8618	167.063	-22.17	999	0	0	0
-203901	0	-77.8618	167.063	-22.26	999	0	0	0
-203889	0	-77.8618	167.063	-22.41	999	0	0	0
-203879	0	-77.8618	167.063	-22.54	999	0	0	0
-203868	0	-77.8618	167.063	-22.71	999	0	0	0
-203855	0	-77.8618	167.063	-22.89	999	0	0	0
-203842	0	-77.8618	167.063	-23.07	999	0	0	0
-203831	0	-77.8618	167.063	-23.23	999	0	0	0
-203821	0	-77.8618	167.063	-23.34	999	0	0	0
-203811	0	-77.8618	167.063	-23.41	999	0	0	0
-203800	0	-77.8618	167.063	-23.46	999	0	0	0
-203789	0	-77.8618	167.063	-23.51	999	0	0	0
-203777	0	-77.8618	167.063	-23.54	999	0	0	0
-203765	0	-77.8618	167.063	-23.56	999	0	0	0
-203753	0	-77.8618	167.063	-23.58	999	0	0	0
-203743	0	-77.8618	167.063	-23.62	999	0	0	0
-203731	0	-77.8618	167.063	-23.66	999	0	0	0
-203717	0	-77.8618	167.063	-23.65	999	0	0	0
-203707	0	-77.8618	167.063	-23.65	999	0	0	0
-203697	0	-77.8618	167.063	-23.63	999	0	0	0
-203682	0	-77.8618	167.063	-23.62	999	0	0	0
-203671	0	-77.8618	167.063	-23.6	999	0	0	0
-203660	0	-77.8618	167.063	-23.58	999	0	0	0
-203649	0	-77.8618	167.063	-23.56	999	0	0	0
-203639	0	-77.8618	167.063	-23.53	999	0	0	0
-203629	0	-77.8618	167.063	-23.51	999	0	0	0
-203616	0	-77.8618	167.063	-23.5	999	0	0	0
-203602	0	-77.8618	167.063	-23.48	999	0	0	0
-203590	0	-77.8618	167.063	-23.45	999	0	0	0
-203579	0	-77.8618	167.063	-23.41	999	0	0	0
-203565	0	-77.8618	167.063	-23.41	999	0	0	0
