# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
116.232,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758,1.48758
118.236,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058,1.25058
120.24,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359,1.01359
122.244,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596,0.776596
124.248,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602,0.539602
126.253,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609,0.302609
128.257,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673,0.101673
130.261,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379,0.171379
132.265,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373,0.408373
134.269,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367,0.645367
136.273,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236,0.88236
138.277,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935,1.11935
140.281,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635,1.35635
142.285,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334,1.59334
144.289,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061,1.78061
146.293,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996,1.66996
148.297,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015,1.56015
150.301,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343,1.53343
152.305,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472,1.50472
154.309,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895,1.47895
156.313,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446,1.46446
158.317,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781,1.45781
160.321,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495,1.4495
162.325,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031,1.44031
164.329,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349,1.43349
166.333,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748,1.42748
168.337,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009,1.42009
170.341,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581,1.41581
172.345,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272,1.41272
174.349,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081,1.4081
176.353,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611
178.357,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607,1.40607
180.361,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611,1.40611
182.365,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915,1.40915
184.369,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416,1.41416
186.373,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918,1.41918
188.377,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153,1.42153
190.381,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209,1.4209
192.385,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869,1.41869
194.389,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785,1.41785
196.393,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671,1.41671
198.397,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645,1.41645
200.401,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548,1.41548
