# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
124.248,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
126.253,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
128.257,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
130.261,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10,1.72076e+10
132.265,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1,66371.1
134.269,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453,26.0453
136.273,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187,5.94187
138.277,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903,3.29903
140.281,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514,2.44514
142.285,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771,1.98771
144.289,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575,1.6575
146.293,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282,1.47282
148.297,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562,1.32562
150.301,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237,1.27237
152.305,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688,1.26688
154.309,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155,1.26155
156.313,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638,1.25638
158.317,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137,1.25137
160.321,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653,1.24653
162.325,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185,1.24185
164.329,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733,1.23733
